date,country,category,value
1996-01-01,Denmark,Total,70.4
1996-02-01,Denmark,Total,70.8
1996-03-01,Denmark,Total,71.3
1996-04-01,Denmark,Total,71.5
1996-05-01,Denmark,Total,71.7
1996-06-01,Denmark,Total,71.6
1996-07-01,Denmark,Total,71.5
1996-08-01,Denmark,Total,71.6
1996-09-01,Denmark,Total,72.0
1996-10-01,Denmark,Total,72.1
1996-11-01,Denmark,Total,72.2
1996-12-01,Denmark,Total,72.1
1997-01-01,Denmark,Total,72.1
1997-02-01,Denmark,Total,72.3
1997-03-01,Denmark,Total,72.6
1997-04-01,Denmark,Total,72.7
1997-05-01,Denmark,Total,73.2
1997-06-01,Denmark,Total,73.3
1997-07-01,Denmark,Total,72.9
1997-08-01,Denmark,Total,73.1
1997-09-01,Denmark,Total,73.3
1997-10-01,Denmark,Total,73.3
1997-11-01,Denmark,Total,73.4
1997-12-01,Denmark,Total,73.2
1998-01-01,Denmark,Total,73.3
1998-02-01,Denmark,Total,73.5
1998-03-01,Denmark,Total,73.7
1998-04-01,Denmark,Total,73.9
1998-05-01,Denmark,Total,74.2
1998-06-01,Denmark,Total,74.2
1998-07-01,Denmark,Total,73.9
1998-08-01,Denmark,Total,73.8
1998-09-01,Denmark,Total,74.1
1998-10-01,Denmark,Total,74.1
1998-11-01,Denmark,Total,74.2
1998-12-01,Denmark,Total,74.0
1999-01-01,Denmark,Total,74.1
1999-02-01,Denmark,Total,74.5
1999-03-01,Denmark,Total,74.9
1999-04-01,Denmark,Total,75.1
1999-05-01,Denmark,Total,75.4
1999-06-01,Denmark,Total,75.6
1999-07-01,Denmark,Total,75.4
1999-08-01,Denmark,Total,75.7
1999-09-01,Denmark,Total,75.9
1999-10-01,Denmark,Total,76.0
1999-11-01,Denmark,Total,76.1
1999-12-01,Denmark,Total,76.3
2000-01-01,Denmark,Total,76.2
2000-02-01,Denmark,Total,76.6
2000-03-01,Denmark,Total,77.1
2000-04-01,Denmark,Total,77.3
2000-05-01,Denmark,Total,77.6
2000-06-01,Denmark,Total,77.8
2000-07-01,Denmark,Total,77.5
2000-08-01,Denmark,Total,77.3
2000-09-01,Denmark,Total,78.0
2000-10-01,Denmark,Total,78.2
2000-11-01,Denmark,Total,78.2
2000-12-01,Denmark,Total,78.1
2001-01-01,Denmark,Total,78.0
2001-02-01,Denmark,Total,78.4
2001-03-01,Denmark,Total,78.8
2001-04-01,Denmark,Total,79.3
2001-05-01,Denmark,Total,79.7
2001-06-01,Denmark,Total,79.6
2001-07-01,Denmark,Total,79.3
2001-08-01,Denmark,Total,79.2
2001-09-01,Denmark,Total,79.7
2001-10-01,Denmark,Total,79.7
2001-11-01,Denmark,Total,79.6
2001-12-01,Denmark,Total,79.7
2002-01-01,Denmark,Total,79.8
2002-02-01,Denmark,Total,80.3
2002-03-01,Denmark,Total,80.8
2002-04-01,Denmark,Total,81.2
2002-05-01,Denmark,Total,81.3
2002-06-01,Denmark,Total,81.3
2002-07-01,Denmark,Total,81.0
2002-08-01,Denmark,Total,81.1
2002-09-01,Denmark,Total,81.6
2002-10-01,Denmark,Total,81.8
2002-11-01,Denmark,Total,81.8
2002-12-01,Denmark,Total,81.8
2003-01-01,Denmark,Total,81.9
2003-02-01,Denmark,Total,82.5
2003-03-01,Denmark,Total,83.2
2003-04-01,Denmark,Total,83.1
2003-05-01,Denmark,Total,83.0
2003-06-01,Denmark,Total,82.9
2003-07-01,Denmark,Total,82.4
2003-08-01,Denmark,Total,82.4
2003-09-01,Denmark,Total,83.0
2003-10-01,Denmark,Total,82.8
2003-11-01,Denmark,Total,82.9
2003-12-01,Denmark,Total,82.8
2004-01-01,Denmark,Total,82.7
2004-02-01,Denmark,Total,83.1
2004-03-01,Denmark,Total,83.5
2004-04-01,Denmark,Total,83.6
2004-05-01,Denmark,Total,83.9
2004-06-01,Denmark,Total,83.7
2004-07-01,Denmark,Total,83.4
2004-08-01,Denmark,Total,83.1
2004-09-01,Denmark,Total,83.7
2004-10-01,Denmark,Total,84.1
2004-11-01,Denmark,Total,83.8
2004-12-01,Denmark,Total,83.6
2005-01-01,Denmark,Total,83.4
2005-02-01,Denmark,Total,84.0
2005-03-01,Denmark,Total,84.6
2005-04-01,Denmark,Total,85.0
2005-05-01,Denmark,Total,85.0
2005-06-01,Denmark,Total,85.1
2005-07-01,Denmark,Total,85.0
2005-08-01,Denmark,Total,85.0
2005-09-01,Denmark,Total,85.8
2005-10-01,Denmark,Total,85.7
2005-11-01,Denmark,Total,85.4
2005-12-01,Denmark,Total,85.5
2006-01-01,Denmark,Total,85.1
2006-02-01,Denmark,Total,85.8
2006-03-01,Denmark,Total,86.1
2006-04-01,Denmark,Total,86.6
2006-05-01,Denmark,Total,86.7
2006-06-01,Denmark,Total,86.9
2006-07-01,Denmark,Total,86.7
2006-08-01,Denmark,Total,86.7
2006-09-01,Denmark,Total,87.0
2006-10-01,Denmark,Total,86.9
2006-11-01,Denmark,Total,86.9
2006-12-01,Denmark,Total,86.9
2007-01-01,Denmark,Total,86.6
2007-02-01,Denmark,Total,87.4
2007-03-01,Denmark,Total,87.8
2007-04-01,Denmark,Total,88.0
2007-05-01,Denmark,Total,88.2
2007-06-01,Denmark,Total,88.0
2007-07-01,Denmark,Total,87.6
2007-08-01,Denmark,Total,87.4
2007-09-01,Denmark,Total,88.0
2007-10-01,Denmark,Total,88.4
2007-11-01,Denmark,Total,89.1
2007-12-01,Denmark,Total,89.0
2008-01-01,Denmark,Total,89.3
2008-02-01,Denmark,Total,90.2
2008-03-01,Denmark,Total,90.7
2008-04-01,Denmark,Total,91.0
2008-05-01,Denmark,Total,91.4
2008-06-01,Denmark,Total,91.7
2008-07-01,Denmark,Total,91.4
2008-08-01,Denmark,Total,91.6
2008-09-01,Denmark,Total,92.0
2008-10-01,Denmark,Total,91.8
2008-11-01,Denmark,Total,91.6
2008-12-01,Denmark,Total,91.2
2009-01-01,Denmark,Total,90.8
2009-02-01,Denmark,Total,91.7
2009-03-01,Denmark,Total,92.1
2009-04-01,Denmark,Total,92.0
2009-05-01,Denmark,Total,92.3
2009-06-01,Denmark,Total,92.5
2009-07-01,Denmark,Total,92.0
2009-08-01,Denmark,Total,92.3
2009-09-01,Denmark,Total,92.4
2009-10-01,Denmark,Total,92.5
2009-11-01,Denmark,Total,92.5
2009-12-01,Denmark,Total,92.2
2010-01-01,Denmark,Total,92.5
2010-02-01,Denmark,Total,93.4
2010-03-01,Denmark,Total,94.0
2010-04-01,Denmark,Total,94.2
2010-05-01,Denmark,Total,94.2
2010-06-01,Denmark,Total,94.0
2010-07-01,Denmark,Total,94.0
2010-08-01,Denmark,Total,94.4
2010-09-01,Denmark,Total,94.8
2010-10-01,Denmark,Total,94.6
2010-11-01,Denmark,Total,94.7
2010-12-01,Denmark,Total,94.8
2011-01-01,Denmark,Total,94.9
2011-02-01,Denmark,Total,95.8
2011-03-01,Denmark,Total,96.4
2011-04-01,Denmark,Total,96.9
2011-05-01,Denmark,Total,97.0
2011-06-01,Denmark,Total,96.8
2011-07-01,Denmark,Total,96.7
2011-08-01,Denmark,Total,96.7
2011-09-01,Denmark,Total,97.0
2011-10-01,Denmark,Total,97.2
2011-11-01,Denmark,Total,97.1
2011-12-01,Denmark,Total,97.1
2012-01-01,Denmark,Total,97.5
2012-02-01,Denmark,Total,98.4
2012-03-01,Denmark,Total,99.0
2012-04-01,Denmark,Total,99.0
2012-05-01,Denmark,Total,99.0
2012-06-01,Denmark,Total,98.9
2012-07-01,Denmark,Total,98.8
2012-08-01,Denmark,Total,99.2
2012-09-01,Denmark,Total,99.5
2012-10-01,Denmark,Total,99.4
2012-11-01,Denmark,Total,99.3
2012-12-01,Denmark,Total,98.9
2013-01-01,Denmark,Total,98.4
2013-02-01,Denmark,Total,99.5
2013-03-01,Denmark,Total,99.7
2013-04-01,Denmark,Total,99.5
2013-05-01,Denmark,Total,99.7
2013-06-01,Denmark,Total,99.5
2013-07-01,Denmark,Total,99.2
2013-08-01,Denmark,Total,99.3
2013-09-01,Denmark,Total,99.6
2013-10-01,Denmark,Total,99.8
2013-11-01,Denmark,Total,99.5
2013-12-01,Denmark,Total,99.4
2014-01-01,Denmark,Total,99.2
2014-02-01,Denmark,Total,99.8
2014-03-01,Denmark,Total,99.9
2014-04-01,Denmark,Total,100.0
2014-05-01,Denmark,Total,100.0
2014-06-01,Denmark,Total,99.9
2014-07-01,Denmark,Total,99.7
2014-08-01,Denmark,Total,99.6
2014-09-01,Denmark,Total,99.9
2014-10-01,Denmark,Total,100.0
2014-11-01,Denmark,Total,99.8
2014-12-01,Denmark,Total,99.5
2015-01-01,Denmark,Total,98.9
2015-02-01,Denmark,Total,99.7
2015-03-01,Denmark,Total,100.2
2015-04-01,Denmark,Total,100.4
2015-05-01,Denmark,Total,100.4
2015-06-01,Denmark,Total,100.3
2015-07-01,Denmark,Total,100.2
2015-08-01,Denmark,Total,99.9
2015-09-01,Denmark,Total,100.2
2015-10-01,Denmark,Total,100.1
2015-11-01,Denmark,Total,99.9
2015-12-01,Denmark,Total,99.8
2016-01-01,Denmark,Total,99.3
2016-02-01,Denmark,Total,99.8
2016-03-01,Denmark,Total,99.9
2016-04-01,Denmark,Total,100.1
2016-05-01,Denmark,Total,100.3
2016-06-01,Denmark,Total,100.4
2016-07-01,Denmark,Total,100.3
2016-08-01,Denmark,Total,99.9
2016-09-01,Denmark,Total,99.9
2016-10-01,Denmark,Total,100.2
2016-11-01,Denmark,Total,100.0
2016-12-01,Denmark,Total,100.1
2017-01-01,Denmark,Total,100.0
2017-02-01,Denmark,Total,100.7
2017-03-01,Denmark,Total,100.8
2017-04-01,Denmark,Total,101.1
2017-05-01,Denmark,Total,101.0
2017-06-01,Denmark,Total,100.8
2017-07-01,Denmark,Total,101.8
2017-08-01,Denmark,Total,101.4
2017-09-01,Denmark,Total,101.5
2017-10-01,Denmark,Total,101.6
2017-11-01,Denmark,Total,101.3
2017-12-01,Denmark,Total,100.9
2018-01-01,Denmark,Total,100.6
2018-02-01,Denmark,Total,101.2
2018-03-01,Denmark,Total,101.2
2018-04-01,Denmark,Total,101.8
2018-05-01,Denmark,Total,102.0
2018-06-01,Denmark,Total,101.9
2018-07-01,Denmark,Total,102.7
2018-08-01,Denmark,Total,102.2
2018-09-01,Denmark,Total,102.0
2018-10-01,Denmark,Total,102.3
2018-11-01,Denmark,Total,102.0
2018-12-01,Denmark,Total,101.6
2019-01-01,Denmark,Total,101.8
2019-02-01,Denmark,Total,102.3
2019-03-01,Denmark,Total,102.4
2019-04-01,Denmark,Total,102.7
2019-05-01,Denmark,Total,102.7
2019-06-01,Denmark,Total,102.4
2019-07-01,Denmark,Total,103.1
2019-08-01,Denmark,Total,102.7
2019-09-01,Denmark,Total,102.4
2019-10-01,Denmark,Total,102.9
2019-11-01,Denmark,Total,102.6
2019-12-01,Denmark,Total,102.4
2020-01-01,Denmark,Total,102.6
2020-02-01,Denmark,Total,103.0
2020-03-01,Denmark,Total,102.7
2020-04-01,Denmark,Total,102.6
2020-05-01,Denmark,Total,102.5
2020-06-01,Denmark,Total,102.6
2020-07-01,Denmark,Total,103.5
2020-08-01,Denmark,Total,103.1
2020-09-01,Denmark,Total,102.9
2020-10-01,Denmark,Total,103.2
2020-11-01,Denmark,Total,103.0
2020-12-01,Denmark,Total,102.8
2021-01-01,Denmark,Total,103.0
2021-02-01,Denmark,Total,103.5
2021-03-01,Denmark,Total,103.6
2021-04-01,Denmark,Total,104.1
2021-05-01,Denmark,Total,104.4
2021-06-01,Denmark,Total,104.5
2021-07-01,Denmark,Total,105.3
2021-08-01,Denmark,Total,105.0
2021-09-01,Denmark,Total,105.4
2021-10-01,Denmark,Total,106.5
2021-11-01,Denmark,Total,106.9
2021-12-01,Denmark,Total,106.3
2022-01-01,Denmark,Total,108.0
2022-02-01,Denmark,Total,109.0
2022-03-01,Denmark,Total,109.8
2022-04-01,Denmark,Total,111.8
2022-05-01,Denmark,Total,113.0
2022-06-01,Denmark,Total,114.0
2022-07-01,Denmark,Total,115.4
2022-08-01,Denmark,Total,115.4
2022-09-01,Denmark,Total,117.1
2022-10-01,Denmark,Total,118.6
2022-11-01,Denmark,Total,117.3
2022-12-01,Denmark,Total,116.5
2023-01-01,Denmark,Total,117.1
2023-02-01,Denmark,Total,118.0
2023-03-01,Denmark,Total,117.8
2023-04-01,Denmark,Total,118.1
2023-05-01,Denmark,Total,116.3
2023-06-01,Denmark,Total,116.7
2023-07-01,Denmark,Total,119.1
2023-08-01,Denmark,Total,118.1
2023-09-01,Denmark,Total,117.8
2023-10-01,Denmark,Total,118.1
2023-11-01,Denmark,Total,117.6
2023-12-01,Denmark,Total,117.0
2024-01-01,Denmark,Total,118.2
2024-02-01,Denmark,Total,118.7
2024-03-01,Denmark,Total,118.7
2024-04-01,Denmark,Total,118.7
2024-05-01,Denmark,Total,118.7
2024-06-01,Denmark,Total,118.8
2024-07-01,Denmark,Total,120.3
2024-08-01,Denmark,Total,119.7
2024-09-01,Denmark,Total,119.2
2024-10-01,Denmark,Total,120.0
2024-11-01,Denmark,Total,119.5
2024-12-01,Denmark,Total,119.1
2025-01-01,Denmark,Total,119.9
2025-02-01,Denmark,Total,121.1
2025-03-01,Denmark,Total,120.4
2025-04-01,Denmark,Total,120.5
2025-05-01,Denmark,Total,120.5
2025-06-01,Denmark,Total,120.9
1996-01-01,Netherlands,Total,67.94
1996-02-01,Netherlands,Total,68.29
1996-03-01,Netherlands,Total,69.11
1996-04-01,Netherlands,Total,69.32
1996-05-01,Netherlands,Total,69.04
1996-06-01,Netherlands,Total,68.7
1996-07-01,Netherlands,Total,68.49
1996-08-01,Netherlands,Total,68.36
1996-09-01,Netherlands,Total,69.11
1996-10-01,Netherlands,Total,69.32
1996-11-01,Netherlands,Total,69.18
1996-12-01,Netherlands,Total,69.11
1997-01-01,Netherlands,Total,69.11
1997-02-01,Netherlands,Total,69.25
1997-03-01,Netherlands,Total,69.94
1997-04-01,Netherlands,Total,70.01
1997-05-01,Netherlands,Total,70.15
1997-06-01,Netherlands,Total,69.73
1997-07-01,Netherlands,Total,69.8
1997-08-01,Netherlands,Total,70.08
1997-09-01,Netherlands,Total,70.83
1997-10-01,Netherlands,Total,70.9
1997-11-01,Netherlands,Total,70.9
1997-12-01,Netherlands,Total,70.63
1998-01-01,Netherlands,Total,70.21
1998-02-01,Netherlands,Total,70.7
1998-03-01,Netherlands,Total,71.45
1998-04-01,Netherlands,Total,71.73
1998-05-01,Netherlands,Total,71.59
1998-06-01,Netherlands,Total,71.25
1998-07-01,Netherlands,Total,71.04
1998-08-01,Netherlands,Total,71.04
1998-09-01,Netherlands,Total,71.73
1998-10-01,Netherlands,Total,71.94
1998-11-01,Netherlands,Total,71.94
1998-12-01,Netherlands,Total,71.66
1999-01-01,Netherlands,Total,71.66
1999-02-01,Netherlands,Total,72.14
1999-03-01,Netherlands,Total,72.9
1999-04-01,Netherlands,Total,73.11
1999-05-01,Netherlands,Total,73.11
1999-06-01,Netherlands,Total,72.76
1999-07-01,Netherlands,Total,72.35
1999-08-01,Netherlands,Total,72.83
1999-09-01,Netherlands,Total,73.17
1999-10-01,Netherlands,Total,73.24
1999-11-01,Netherlands,Total,73.38
1999-12-01,Netherlands,Total,73.04
2000-01-01,Netherlands,Total,72.83
2000-02-01,Netherlands,Total,73.24
2000-03-01,Netherlands,Total,74.07
2000-04-01,Netherlands,Total,74.34
2000-05-01,Netherlands,Total,74.55
2000-06-01,Netherlands,Total,74.55
2000-07-01,Netherlands,Total,74.34
2000-08-01,Netherlands,Total,74.62
2000-09-01,Netherlands,Total,75.31
2000-10-01,Netherlands,Total,75.58
2000-11-01,Netherlands,Total,75.51
2000-12-01,Netherlands,Total,75.17
2001-01-01,Netherlands,Total,76.21
2001-02-01,Netherlands,Total,76.89
2001-03-01,Netherlands,Total,77.77
2001-04-01,Netherlands,Total,78.37
2001-05-01,Netherlands,Total,78.63
2001-06-01,Netherlands,Total,78.34
2001-07-01,Netherlands,Total,78.29
2001-08-01,Netherlands,Total,78.51
2001-09-01,Netherlands,Total,79.33
2001-10-01,Netherlands,Total,79.36
2001-11-01,Netherlands,Total,79.14
2001-12-01,Netherlands,Total,79.04
2002-01-01,Netherlands,Total,79.91
2002-02-01,Netherlands,Total,80.32
2002-03-01,Netherlands,Total,81.17
2002-04-01,Netherlands,Total,81.68
2002-05-01,Netherlands,Total,81.6
2002-06-01,Netherlands,Total,81.31
2002-07-01,Netherlands,Total,81.22
2002-08-01,Netherlands,Total,81.38
2002-09-01,Netherlands,Total,82.17
2002-10-01,Netherlands,Total,82.09
2002-11-01,Netherlands,Total,81.72
2002-12-01,Netherlands,Total,81.58
2003-01-01,Netherlands,Total,82.07
2003-02-01,Netherlands,Total,82.65
2003-03-01,Netherlands,Total,83.4
2003-04-01,Netherlands,Total,83.48
2003-05-01,Netherlands,Total,83.43
2003-06-01,Netherlands,Total,83.04
2003-07-01,Netherlands,Total,82.95
2003-08-01,Netherlands,Total,83.16
2003-09-01,Netherlands,Total,83.85
2003-10-01,Netherlands,Total,83.67
2003-11-01,Netherlands,Total,83.39
2003-12-01,Netherlands,Total,82.87
2004-01-01,Netherlands,Total,83.29
2004-02-01,Netherlands,Total,83.77
2004-03-01,Netherlands,Total,84.45
2004-04-01,Netherlands,Total,84.74
2004-05-01,Netherlands,Total,84.88
2004-06-01,Netherlands,Total,84.27
2004-07-01,Netherlands,Total,83.97
2004-08-01,Netherlands,Total,84.12
2004-09-01,Netherlands,Total,84.83
2004-10-01,Netherlands,Total,84.93
2004-11-01,Netherlands,Total,84.62
