KEY,FREQ,REF_AREA,ADJUSTMENT,STS_CONCEPT,STS_CLASS,STS_INSTITUTION,STS_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-01,71.03,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-02,75.5,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-03,74.09,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-04,79.53,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-05,79.94,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-06,75.94,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-07,73.41,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-08,73.08,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-09,71.6,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
STS.M.I9.N.ECPE.CFOOD0.3.000,M,I9,N,ECPE,CFOOD0,3,000,1996-10,69.5,A,F,,,P1M,,A,,,,,,,2010=100,,,2,,4F0,ECB Calculation,"ECB Commodity Price index, import weighted","Euro area 20 (fixed composition) as of 1 January 2023 - ECB Commodity Price index Euro denominated, import weighted, Food; European Central Bank; Neither seasonally nor working day adjusted ",PURE_NUMB,0
